Category,GHG,Region,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
industry,BC,AK,0.000764659,0.00272945,0.00056823,0.000463241,0.000364298,0.000346057,0.000360648,0.000336369,0.000324154,0.000291758,0.000299832,0.0005208,0.00052276,0.000522176,0.00054196,0.000564622,0.000590162,0.000617742,0.000645222,0.000669492,0.000678332
power,BC,AK,4.16E-05,0.000113272,0.000133927,0.000135252,1.25E-05,1.01E-05,9.32E-06,6.19E-06,5.51E-06,4.00E-06,3.32E-06,1.24E-05,2.63E-06,3.54E-06,3.56E-06,4.47E-06,5.56E-06,5.90E-06,8.55E-06,9.72E-06,1.05E-05
residential commercial,BC,AK,0.000195798,0.000276674,0.000121491,0.000680308,0.000641336,0.00061247,0.000587901,0.000488307,0.000385504,0.000281115,0.000199684,0.000114806,0.000111558,0.000115567,0.000117656,0.000119154,0.000120143,0.00012437,0.000133405,0.000139696,0.000140422
transportation,BC,AK,0.001618091,0.001063445,0.000790574,0.000501997,0.000301949,0.000220585,0.000185674,0.000153251,0.000159098,0.000158505,0.000153055,0.000195546,0.000190141,0.000182211,0.000179291,0.000178649,0.000177256,0.000177651,0.000177754,0.000177356,0.000175133
industry,CH4,AK,8.87E-05,0.000106979,7.16E-05,6.84E-05,6.12E-05,6.14E-05,6.72E-05,7.31E-05,8.07E-05,0.000134938,0.00021722,0.00033867,0.000383177,0.000421086,0.000432884,0.000428883,0.000414484,0.000404289,0.0004033,0.000403508,0.000399408
power,CH4,AK,0.000358189,0.000278632,0.000361388,0.00023509,0.000111584,0.000109701,0.000114082,0.00011629,0.000123405,0.000127853,0.000135256,0.000122676,0.000124443,0.000151575,0.000166899,0.00018397,0.000193368,0.000180946,0.000180027,0.000186058,0.00022077
residential commercial,CH4,AK,0.000970487,0.000948988,0.001079948,0.001195899,0.001103113,0.001027429,0.00097095,0.000861588,0.0007834,0.000683571,0.000627581,0.000572196,0.000588019,0.000600545,0.000597164,0.000591636,0.000586455,0.000590769,0.000603697,0.000628049,0.000663063
transportation,CH4,AK,0.00205678,0.001421261,0.000929657,0.000460471,0.000405606,0.000332772,0.000268851,0.000196348,0.000164406,0.000146119,0.000130549,0.000167505,0.000178489,0.000189977,0.000203044,0.000210909,0.00021757,0.000224019,0.000228577,0.000231241,0.000230318
industry,CO,AK,0.033286402,0.07930066,0.04234193,0.038906614,0.031205904,0.029860758,0.030726378,0.02839733,0.026927492,0.024193118,0.024133961,0.035040491,0.026331823,0.017385461,0.013606073,0.012351656,0.012517222,0.012661482,0.012816574,0.013138824,0.013736285
power,CO,AK,0.000544968,0.002901097,0.004914954,0.004496427,0.00113547,0.000875946,0.000944591,0.00077266,0.000701579,0.000610895,0.000559453,0.000661973,0.000453042,0.000527201,0.000537187,0.000611356,0.000690111,0.000705154,0.000861078,0.000962952,0.00108038
residential commercial,CO,AK,0.004876419,0.016845798,0.005562468,0.054508547,0.051227627,0.049536301,0.049416189,0.041334477,0.033219115,0.024552815,0.01722876,0.009630597,0.009235657,0.009604759,0.009672458,0.00971362,0.009753249,0.01020804,0.01128621,0.012118913,0.012404659
transportation,CO,AK,0.282923014,0.1058134,0.07271045,0.071270834,0.054824143,0.044305525,0.034731427,0.028211234,0.025931931,0.025957129,0.024204792,0.029131698,0.028431831,0.026911889,0.025912035,0.025314422,0.025317184,0.025532208,0.025823039,0.026328505,0.027250309
industry,NH3,AK,1.64E-05,9.89E-05,1.99E-05,0.000316016,0.000288689,0.000292457,0.000311658,0.000318806,0.000338122,0.000350357,0.000360542,0.00039833,0.0004001,0.000400081,0.000404124,0.000412321,0.000421482,0.000430629,0.000440719,0.000454768,0.000470738
